,Property,n,Label
538,P9786,1,Joods Biografisch Woordenboek ID
539,P5981,1,Encyclopedia Virginia ID
540,P1444,1,destination point
541,P4613,1,Encyclopedia of Modern Ukraine ID
542,P2944,1,Plarr ID
543,P1953,1,Discogs artist ID
544,P4903,1,New Georgia Encyclopedia ID
545,P5618,1,LOA ID
546,P61,1,discoverer or inventor
547,P1448,1,official name
548,P3560,1,College Football Data Warehouse ID
549,P6804,1,Art Gallery of South Australia creator ID
550,P4872,1,GEPRIS person ID
551,P1829,1,Roud Folk Song Index number
552,P6010,1,Encyclopedia of Alabama ID
553,P2561,1,name
554,P3411,1,Saxon Academy of Sciences member ID
555,P2047,1,duration
556,P811,1,academic minor
557,P2813,1,house publication
558,P3827,1,JSTOR topic ID
559,P8953,1,Students of Prague Universities ID
560,P3269,1,Fotografen.nl ID
561,P1303,1,instrument
562,P6925,1,Musicalics composer ID
563,P6812,1,AntWiki article ID
564,P3919,1,contributed to creative work
565,P393,1,edition number
566,P8341,1,Dansk Biografisk Leksikon ID
567,P6784,1,Harper's author ID
568,P9301,1,National Gallery of Art Library Bibliographic ID
569,P488,1,chairperson
570,P1225,1,U.S. National Archives Identifier
571,P5450,1,Biographisches Archiv der Psychiatrie  ID
572,P6284,1,NCpedia ID
573,P9048,1,Biographical Archive of Psychiatry ID
574,P9661,1,EBAF authority ID
575,P6424,1,affiliation string
576,P1319,1,earliest date
577,P828,1,has cause
578,P3360,1,Nobel Prize People Nomination ID
579,P6734,1,Archaeology Data Service person ID
580,P945,1,allegiance
581,P7779,1,member of military unit
582,P8446,1,Gateway to Research person ID
583,P2332,1,Dictionary of Art Historians ID
584,P3372,1,Auckland Art Gallery artist ID
585,P4602,1,date of burial or cremation
586,P10033,1,Biografija.ru ID
587,P2558,1,autores.uy ID
588,P4159,1,WeRelate person ID
589,P7944,1,DoME artist ID
590,P5909,1,HKCAN ID
591,P8696,1,Directory of Belgian Photographers ID
592,P451,1,unmarried partner
593,P138,1,named after
594,P10012,1,NSW Parliament member ID
595,P1399,1,convicted of
596,P3629,1,age at event
597,P3415,1,start period
598,P9778,1,Looted Cultural Assets Database ID
599,P2252,1,National Gallery of Art artist ID
600,P2042,1,Artsy artist ID
601,P5368,1,National Gallery of Canada artist ID
602,P3634,1,The Met object ID
603,P3603,1,Minneapolis Institute of Art constituent ID
604,P6764,1,V&A person ID
605,P4936,1,SFMOMA artist ID
606,P10069,1,Tabakalera ID
607,P1114,1,quantity
608,P9756,1,Schoenberg Database of Manuscripts name ID
609,P366,1,has use
610,P1028,1,donated by
611,P2342,1,AGORHA person/institution ID
612,P1007,1,Lattes Platform number
613,P5745,1,Pacific Coast Architecture Database person ID
614,P1581,1,official blog
